line,tag
0,"<TIMEX3 periodicity=""PT60S"" quant=""every"" tid=""t1"" type=""SET"" value=""PT60S"">every 60 seconds</TIMEX3>"
2,"<TIMEX3 range=""(,,PTXH)"" tid=""t1"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
2,"<TIMEX3 range=""(,,P6M)"" tid=""t2"" type=""DURATION"" value=""P6M"">the first six months</TIMEX3>"
3,"<TIMEX3 range=""(PRESENT_REF,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PRESENT_REF"">current</TIMEX3>"
5,"<TIMEX3 range=""(,,PT90M)"" tid=""t1"" type=""DURATION"" value=""PT90M"">90 minutes</TIMEX3>"
12,"<TIMEX3 range=""(,,PT30S)"" tid=""t1"" type=""DURATION"" value=""PT30S"">later 30 seconds</TIMEX3>"
14,"<TIMEX3 range=""(,,PT60S)"" tid=""t1"" type=""DURATION"" value=""PT60S"">later 60 seconds</TIMEX3>"
16,"<TIMEX3 periodicity=""PT1H"" quant=""every"" tid=""t1"" type=""SET"" value=""PT1H"">every hour</TIMEX3>"
17,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
17,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
17,"<TIMEX3 range=""(,,P365D)"" tid=""t3"" type=""DURATION"" value=""P365D"">365 days</TIMEX3>"
17,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
20,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PAST_REF"">previously</TIMEX3>"
25,"<TIMEX3 range=""(2021-01-01,2021-12-31,P1Y)"" tid=""t1"" type=""DATE"" value=""2021"">the next year</TIMEX3>"
32,"<TIMEX3 range=""(,,P1D)"" tid=""t1"" type=""DURATION"" value=""P1D"">one day</TIMEX3>"
34,"<TIMEX3 range=""(,,PXY)"" tid=""t1"" type=""DURATION"" value=""PXY"">the first year</TIMEX3>"
40,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
40,"<TIMEX3 range=""(,,PT30S)"" tid=""t2"" type=""DURATION"" value=""PT30S"">30 seconds</TIMEX3>"
41,"<TIMEX3 alt_value=""2020-10-04T08:00 INTERSECT PTXH"" anchorTimeID=""t2"" range=""(2020-10-04T08:00 INTERSECT PTXH,2020-10-04T08:00 INTERSECT PTXH,)"" temporalFunction=""true"" tid=""t1"" type=""DATE"" valueFromFunction=""tf0"">the hours of 8am</TIMEX3>"
41,"<TIMEX3 range=""(2020-10-04T18:00:00.000,2020-10-04T18:00:59.999,PT1M)"" tid=""t3"" type=""TIME"" value=""2020-10-04T18:00"">6pm.</TIMEX3>"
43,"<TIMEX3 range=""(,,PTXH)"" tid=""t1"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
44,"<TIMEX3 beginPoint=""t1"" endPoint=""t2"" range=""(T09:00,T17:00,PT8H)"" tid=""t3"" type=""DURATION"" value=""PT8H"">from 9am to 5pm.</TIMEX3>"
45,"<TIMEX3 beginPoint=""t0"" endPoint=""t1"" range=""(REF,UNKNOWN,P10Y)"" tid=""t2"" type=""DURATION"" value=""P10Y"">the next 10 years</TIMEX3>"
46,"<TIMEX3 range=""(,,P5Y)"" tid=""t1"" type=""DURATION"" value=""P5Y"">5 years</TIMEX3>"
58,"<TIMEX3 range=""(,,P2D)"" tid=""t1"" type=""DURATION"" value=""P2D"">2-day</TIMEX3>"
61,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">no more than 5 seconds</TIMEX3>"
66,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PAST_REF"">once</TIMEX3>"
74,"<TIMEX3 range=""(,,P1M)"" tid=""t1"" type=""DURATION"" value=""P1M"">1 month</TIMEX3>"
76,"<TIMEX3 range=""(,,P2D)"" tid=""t1"" type=""DURATION"" value=""P2D"">two days</TIMEX3>"
78,"<TIMEX3 range=""(,,PT15S)"" tid=""t1"" type=""DURATION"" value=""PT15S"">15 seconds</TIMEX3>"
78,"<TIMEX3 range=""(,,PT15S)"" tid=""t2"" type=""DURATION"" value=""PT15S"">15 seconds</TIMEX3>"
79,"<TIMEX3 range=""(,,PT8S)"" tid=""t1"" type=""DURATION"" value=""PT8S"">8 seconds</TIMEX3>"
79,"<TIMEX3 range=""(,,PT8S)"" tid=""t2"" type=""DURATION"" value=""PT8S"">8 seconds</TIMEX3>"
80,"<TIMEX3 range=""(,,PT10S)"" tid=""t1"" type=""DURATION"" value=""PT10S"">10 seconds</TIMEX3>"
80,"<TIMEX3 range=""(,,PT10S)"" tid=""t2"" type=""DURATION"" value=""PT10S"">10 seconds</TIMEX3>"
81,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
81,"<TIMEX3 range=""(,,PT5S)"" tid=""t2"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
85,"<TIMEX3 range=""(,,P1D)"" tid=""t1"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
86,"<TIMEX3 range=""(,,P2Y)"" tid=""t1"" type=""DURATION"" value=""P2Y"">2 years</TIMEX3>"
94,"<TIMEX3 range=""(,,P2W)"" tid=""t1"" type=""DURATION"" value=""P2W"">the first 2 weeks</TIMEX3>"
95,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
99,"<TIMEX3 range=""(,,PTXM)"" tid=""t1"" type=""DURATION"" value=""PTXM"">a few minutes</TIMEX3>"
99,"<TIMEX3 mod=""LESS_THAN"" range=""(,,&lt;PT15M)"" tid=""t2"" type=""DURATION"" value=""PT15M"">less than 15 minutes</TIMEX3>"
103,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
103,"<TIMEX3 range=""(,,PT8S)"" tid=""t2"" type=""DURATION"" value=""PT8S"">8 seconds</TIMEX3>"
106,"<TIMEX3 mod=""EARLY"" range=""(2020-10-04T06:00:00.000,2020-10-04T12:00,PT6H)"" tid=""t1"" type=""TIME"" value=""2020-10-04TMO"">early morning</TIMEX3>"
106,"<TIMEX3 mod=""LATE"" range=""(2020-10-04T12:00:00.000,2020-10-04T18,PT6H)"" tid=""t2"" type=""TIME"" value=""2020-10-04TAF"">late afternoon</TIMEX3>"
106,"<TIMEX3 range=""(,,PTXH)"" tid=""t3"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
107,"<TIMEX3 range=""(,,PT1H)"" tid=""t1"" type=""DURATION"" value=""PT1H"">hour</TIMEX3>"
107,"<TIMEX3 range=""(,,P2Y)"" tid=""t2"" type=""DURATION"" value=""P2Y"">two years</TIMEX3>"
108,"<TIMEX3 mod=""EQUAL_OR_MORE"" range=""(,,&gt;=P5Y)"" tid=""t1"" type=""DURATION"" value=""P5Y"">at least 5 years</TIMEX3>"
109,"<TIMEX3 range=""(,,PT10M)"" tid=""t1"" type=""DURATION"" value=""PT10M"">10 minutes</TIMEX3>"
109,"<TIMEX3 range=""(,,PT10M)"" tid=""t2"" type=""DURATION"" value=""PT10M"">10 minutes</TIMEX3>"
110,"<TIMEX3 range=""(,,PXD)"" tid=""t1"" type=""DURATION"" value=""PXD"">days</TIMEX3>"
112,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PAST_REF"">once</TIMEX3>"
112,"<TIMEX3 range=""(,,P1Y)"" tid=""t2"" type=""DURATION"" value=""P1Y"">a year</TIMEX3>"
112,"<TIMEX3 range=""(,,PT5M)"" tid=""t3"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
113,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
115,"<TIMEX3 range=""(PRESENT_REF,UNKNOWN,)"" tid=""t1"" type=""DATE"" value=""FUTURE_REF"">future</TIMEX3>"
115,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=P5D)"" tid=""t2"" type=""DURATION"" value=""P5D"">no more than 5 days</TIMEX3>"
124,"<TIMEX3 range=""(2020-09-04,2020-10-04,P30D)"" tid=""t1"" type=""DATE"" value=""2020-09-04/2020-10-04"">previous 30 days</TIMEX3>"
124,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT30M)"" tid=""t2"" type=""DURATION"" value=""PT30M"">no more than 30min</TIMEX3>"
128,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
129,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
130,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
131,"<TIMEX3 range=""(,,PT10M)"" tid=""t1"" type=""DURATION"" value=""PT10M"">10 minutes</TIMEX3>"
132,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
133,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
134,"<TIMEX3 range=""(,,PT1M)"" tid=""t1"" type=""DURATION"" value=""PT1M"">1 minute</TIMEX3>"
135,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
135,"<TIMEX3 range=""(PRESENT_REF,PRESENT_REF,)"" tid=""t2"" type=""DATE"" value=""PRESENT_REF"">now</TIMEX3>"
136,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
137,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
138,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
142,"<TIMEX3 range=""(,,P2W)"" tid=""t1"" type=""DURATION"" value=""P2W"">2 weeks</TIMEX3>"
143,"<TIMEX3 range=""(,,P1M)"" tid=""t1"" type=""DURATION"" value=""P1M"">a month</TIMEX3>"
145,"<TIMEX3 range=""(,,PT3M)"" tid=""t1"" type=""DURATION"" value=""PT3M"">3 minutes</TIMEX3>"
148,"<TIMEX3 range=""(,,PT5S)"" tid=""t1"" type=""DURATION"" value=""PT5S"">5 seconds</TIMEX3>"
149,"<TIMEX3 range=""(,,PT15S)"" tid=""t1"" type=""DURATION"" value=""PT15S"">15 seconds</TIMEX3>"
150,"<TIMEX3 range=""(,,PT10S)"" tid=""t1"" type=""DURATION"" value=""PT10S"">10 seconds</TIMEX3>"
153,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
153,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
153,"<TIMEX3 range=""(,,P365D)"" tid=""t3"" type=""DURATION"" value=""P365D"">365 days</TIMEX3>"
153,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
155,"<TIMEX3 range=""(2020-10-04,2020-10-04,P1D)"" tid=""t1"" type=""DATE"" value=""2020-10-04"">the day</TIMEX3>"
162,"<TIMEX3 range=""(,,P2Y)"" tid=""t1"" type=""DURATION"" value=""P2Y"">2 years</TIMEX3>"
163,"<TIMEX3 range=""(,,P1D)"" tid=""t1"" type=""DURATION"" value=""P1D"">a day</TIMEX3>"
164,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
165,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
166,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hour</TIMEX3>"
168,"<TIMEX3 range=""(2020-10-04T07:00:00.000,2020-10-04T07:00:59.999,PT1M)"" tid=""t1"" type=""TIME"" value=""2020-10-04T07:00"">7am</TIMEX3>"
170,"<TIMEX3 range=""(,,P2D)"" tid=""t1"" type=""DURATION"" value=""P2D"">the 2 day</TIMEX3>"
176,"<TIMEX3 freq=""P1X"" periodicity=""P1W"" quant=""EVERY"" tid=""t1"" type=""SET"" value=""P1W"">weekly</TIMEX3>"
183,"<TIMEX3 range=""(,,PT5M)"" tid=""t1"" type=""DURATION"" value=""PT5M"">5 minutes</TIMEX3>"
183,"<TIMEX3 alt_value=""2020-10-04T08:00 INTERSECT PT1H"" anchorTimeID=""t3"" range=""(2020-10-04T08:00 INTERSECT PT1H,2020-10-04T08:00 INTERSECT PT1H,)"" temporalFunction=""true"" tid=""t2"" type=""DATE"" valueFromFunction=""tf0"">hours of 8AM</TIMEX3>"
183,"<TIMEX3 range=""(2020-10-04T20:00:00.000-0600,2020-10-04T20:00:59.999,PT1M)"" tid=""t4"" type=""TIME"" value=""2020-10-04T20:00-0600"">8PM CST</TIMEX3>"
183,"<TIMEX3 range=""(,,PT3M)"" tid=""t5"" type=""DURATION"" value=""PT3M"">3 minutes</TIMEX3>"
183,"<TIMEX3 range=""(,,PTXH)"" tid=""t6"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
184,"<TIMEX3 range=""(,,PT25S)"" tid=""t1"" type=""DURATION"" value=""PT25S"">25 seconds</TIMEX3>"
185,"<TIMEX3 range=""(,,PT25S)"" tid=""t1"" type=""DURATION"" value=""PT25S"">25 seconds</TIMEX3>"
186,"<TIMEX3 range=""(,,PT3M)"" tid=""t1"" type=""DURATION"" value=""PT3M"">3 minutes</TIMEX3>"
187,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
187,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
187,"<TIMEX3 range=""(,,P365D)"" tid=""t3"" type=""DURATION"" value=""P365D"">365 days</TIMEX3>"
187,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
188,"<TIMEX3 range=""(,,PTXH)"" tid=""t1"" type=""DURATION"" value=""PTXH"">hours</TIMEX3>"
189,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
189,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
189,"<TIMEX3 range=""(,,P7D)"" tid=""t3"" type=""DURATION"" value=""P7D"">seven days</TIMEX3>"
189,"<TIMEX3 range=""(,,P1W)"" tid=""t4"" type=""DURATION"" value=""P1W"">week</TIMEX3>"
191,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT2S)"" tid=""t1"" type=""DURATION"" value=""PT2S"">no more than 2 seconds</TIMEX3>"
196,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT2S)"" tid=""t1"" type=""DURATION"" value=""PT2S"">no more than 2 seconds</TIMEX3>"
197,"<TIMEX3 range=""(,,PT2M)"" tid=""t1"" type=""DURATION"" value=""PT2M"">2 minutes</TIMEX3>"
198,"<TIMEX3 range=""(,,PT10M)"" tid=""t1"" type=""DURATION"" value=""PT10M"">10 minutes</TIMEX3>"
199,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT2S)"" tid=""t1"" type=""DURATION"" value=""PT2S"">no more than 2 seconds</TIMEX3>"
199,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT5S)"" tid=""t2"" type=""DURATION"" value=""PT5S"">no more than 5 seconds</TIMEX3>"
200,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT6S)"" tid=""t1"" type=""DURATION"" value=""PT6S"">no more than 6 seconds</TIMEX3>"
201,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT3S)"" tid=""t1"" type=""DURATION"" value=""PT3S"">no more than 3 seconds</TIMEX3>"
202,"<TIMEX3 alt_value=""THIS P1Y INTERSECT P1D"" quant=""every"" tid=""t1"" type=""SET"">every day of the year</TIMEX3>"
202,"<TIMEX3 range=""(2020-10-04T00:00:00.000,2020-10-04T00:00:59.999,PT1M)"" tid=""t2"" type=""TIME"" value=""2020-10-04T00:00"">12:00AM</TIMEX3>"
202,"<TIMEX3 range=""(2020-10-04T18:00:00.000,2020-10-04T18:00:59.999,PT1M)"" tid=""t3"" type=""TIME"" value=""2020-10-04T18:00"">6:00PM</TIMEX3>"
202,"<TIMEX3 alt_value=""2020 INTERSECT P1D"" anchorTimeID=""t5"" range=""(2020 INTERSECT P1D,2020 INTERSECT P1D,)"" temporalFunction=""true"" tid=""t4"" type=""DATE"" valueFromFunction=""tf0"">days of the year</TIMEX3>"
203,"<TIMEX3 range=""(2020-10-04T07:00:00.000,2020-10-04T07:00:59.999,PT1M)"" tid=""t1"" type=""TIME"" value=""2020-10-04T07:00"">7:00AM</TIMEX3>"
203,"<TIMEX3 alt_value=""2020 INTERSECT P1D"" anchorTimeID=""t4"" range=""(2020 INTERSECT P1D,2020 INTERSECT P1D,)"" temporalFunction=""true"" tid=""t3"" type=""DATE"" valueFromFunction=""tf0"">days of the year</TIMEX3>"
208,"<TIMEX3 range=""(,,P2W)"" tid=""t1"" type=""DURATION"" value=""P2W"">two weeks</TIMEX3>"
213,"<TIMEX3 range=""(,,PT2S)"" tid=""t1"" type=""DURATION"" value=""PT2S"">2 seconds</TIMEX3>"
213,"<TIMEX3 range=""(,,PT2S)"" tid=""t2"" type=""DURATION"" value=""PT2S"">2 seconds</TIMEX3>"
214,"<TIMEX3 periodicity=""PT1S"" quant=""every"" tid=""t1"" type=""SET"" value=""PT1S"">every second</TIMEX3>"
214,"<TIMEX3 periodicity=""PT1S"" quant=""every"" tid=""t2"" type=""SET"" value=""PT1S"">every 1 second</TIMEX3>"
215,"<TIMEX3 mod=""MORE_THAN"" range=""(,,&gt;P1D)"" tid=""t1"" type=""DURATION"" value=""P1D"">more than 1 day</TIMEX3>"
216,"<TIMEX3 range=""(,,PXD)"" tid=""t1"" type=""DURATION"" value=""PXD"">days</TIMEX3>"
219,"<TIMEX3 range=""(,,P1Y)"" tid=""t1"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
221,"<TIMEX3 periodicity=""P6M"" quant=""every"" tid=""t1"" type=""SET"" value=""P6M"">every six months</TIMEX3>"
221,"<TIMEX3 freq=""P1X"" periodicity=""P3M"" quant=""EVERY"" tid=""t2"" type=""SET"" value=""P3M"">quarterly</TIMEX3>"
221,"<TIMEX3 periodicity=""P6M"" quant=""every"" tid=""t3"" type=""SET"" value=""P6M"">every six months</TIMEX3>"
225,"<TIMEX3 range=""(,,P1Y)"" tid=""t1"" type=""DURATION"" value=""P1Y"">one year</TIMEX3>"
233,"<TIMEX3 range=""(PRESENT_REF,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PRESENT_REF"">currently</TIMEX3>"
235,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PAST_REF"">once</TIMEX3>"
235,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
235,"<TIMEX3 range=""(UNKNOWN,PRESENT_REF,)"" tid=""t3"" type=""DATE"" value=""PAST_REF"">once</TIMEX3>"
235,"<TIMEX3 range=""(,,P1W)"" tid=""t4"" type=""DURATION"" value=""P1W"">a week</TIMEX3>"
241,"<TIMEX3 range=""(,,PT30S)"" tid=""t1"" type=""DURATION"" value=""PT30S"">30 seconds</TIMEX3>"
245,"<TIMEX3 range=""(,,PT1S)"" tid=""t1"" type=""DURATION"" value=""PT1S"">a second</TIMEX3>"
246,"<TIMEX3 mod=""EQUAL_OR_LESS"" range=""(,,&lt;=PT10M)"" tid=""t1"" type=""DURATION"" value=""PT10M"">at most 10 minutes</TIMEX3>"
246,"<TIMEX3 range=""(,,P1Y)"" tid=""t2"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
247,"<TIMEX3 range=""(2020-10-04T03:00:00.000,2020-10-04T03:00:59.999,PT1M)"" tid=""t1"" type=""TIME"" value=""2020-10-04T03:00"">3AM</TIMEX3>"
247,"<TIMEX3 range=""(2020-10-04T06:00:00.000-0600,2020-10-04T06:00:59.999,PT1M)"" tid=""t2"" type=""TIME"" value=""2020-10-04T06:00-0600"">6 AM CST</TIMEX3>"
247,"<TIMEX3 range=""(2020-10-04T06:00:00.000-0600,2020-10-04T06:00:59.999,PT1M)"" tid=""t2"" type=""TIME"" value=""2020-10-04T06:00-0600"">6 AM CST</TIMEX3>"
247,"<TIMEX3 range=""(2020-09-30-WXX-3T06:00:00.000,2020-09-30-WXX-3T12:00,PT6H)"" tid=""t3"" type=""TIME"" value=""2020-09-30TMO"">Wednesday morning</TIMEX3>"
247,"<TIMEX3 range=""(2020-09-30-WXX-3T06:00:00.000,2020-09-30-WXX-3T12:00,PT6H)"" tid=""t3"" type=""TIME"" value=""2020-09-30TMO"">Wednesday morning</TIMEX3>"
249,"<TIMEX3 range=""(,,PT24H)"" tid=""t1"" type=""DURATION"" value=""PT24H"">24 hours</TIMEX3>"
249,"<TIMEX3 range=""(,,P1D)"" tid=""t2"" type=""DURATION"" value=""P1D"">day</TIMEX3>"
249,"<TIMEX3 range=""(,,P365D)"" tid=""t3"" type=""DURATION"" value=""P365D"">365 days</TIMEX3>"
249,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
249,"<TIMEX3 range=""(,,P1Y)"" tid=""t4"" type=""DURATION"" value=""P1Y"">year</TIMEX3>"
249,"<TIMEX3 range=""(,,PT1H)"" tid=""t5"" type=""DURATION"" value=""PT1H"">1 hour</TIMEX3>"
250,"<TIMEX3 periodicity=""P1Y"" quant=""every"" tid=""t1"" type=""SET"" value=""P1Y"">every year</TIMEX3>"
250,"<TIMEX3 range=""(,,P1W)"" tid=""t2"" type=""DURATION"" value=""P1W"">one week</TIMEX3>"
250,"<TIMEX3 range=""(,,P2W)"" tid=""t3"" type=""DURATION"" value=""P2W"">2 weeks</TIMEX3>"
251,"<TIMEX3 range=""(2021-10-01,2021-10-31,P1M)"" tid=""t1"" type=""DATE"" value=""2021-10"">October</TIMEX3>"
254,"<TIMEX3 range=""(,,P1W)"" tid=""t1"" type=""DURATION"" value=""P1W"">a week</TIMEX3>"
255,"<TIMEX3 range=""(,,PT2S)"" tid=""t1"" type=""DURATION"" value=""PT2S"">2 seconds</TIMEX3>"
255,"<TIMEX3 mod=""MORE_THAN"" range=""(,,&gt;PT10S)"" tid=""t2"" type=""DURATION"" value=""PT10S"">more than 10 seconds</TIMEX3>"
260,"<TIMEX3 range=""(PRESENT_REF,PRESENT_REF,)"" tid=""t1"" type=""DATE"" value=""PRESENT_REF"">current</TIMEX3>"
